Time,Detector Score,Classification,Classification Score,BirdVoxClassify Order,BirdVoxClassify Order Confidence,BirdVoxClassify Family,BirdVoxClassify Family Confidence,BirdVoxClassify Species,BirdVoxClassify Species Confidence
4.1,71.13288879394531,Call.Turdidae,98.23924899101257,Passeriformes,99.97164011001587,Turdidae,98.23924899101257,OTHE,96.07501327991486
10.02,53.74308395385742,Call.Passerellidae,56.81781768798828,Passeriformes,99.92655515670776,Passerellidae,56.81781768798828,OTHE,92.63693988323212
19.34,55.65357208251953,Call.Turdidae,83.47317576408386,Passeriformes,99.98171925544739,Turdidae,83.47317576408386,OTHE,99.27238523960114
28.37,59.61925506591797,Call.Turdidae,87.23094463348389,Passeriformes,99.97918009757996,Turdidae,87.23094463348389,OTHE,97.90405035018921
30.79,64.60104370117188,Call.Turdidae,94.0507709980011,Passeriformes,97.07776308059692,Turdidae,94.0507709980011,OTHE,98.15201461315155
33.11,99.98999786376953,Call.Turdidae,95.8910584449768,Passeriformes,99.99977350234985,Turdidae,95.8910584449768,OTHE,96.06394469738007
34.93,63.109458923339844,Call.Turdidae,71.44058346748352,Passeriformes,99.12538528442383,Turdidae,71.44058346748352,OTHE,99.24518764019012
41.2,62.219635009765625,Call.Turdidae,99.38150644302368,Passeriformes,99.74581003189087,Turdidae,99.38150644302368,OTHE,52.29877829551697
50.18,59.287750244140625,Call.Passeriformes,99.84661340713501,Passeriformes,99.84661340713501,other,77.6479959487915,OTHE,77.6479959487915
50.38,99.98999786376953,Call.Turdidae,87.5406265258789,Passeriformes,98.69348406791687,Turdidae,87.5406265258789,OTHE,97.91785180568695
61.63,59.81703186035156,Call.Turdidae,98.10888767242432,Passeriformes,99.88971948623657,Turdidae,98.10888767242432,OTHE,96.54923677444458
64.39,66.24612426757812,Call.Turdidae,96.92835211753845,Passeriformes,99.94588494300842,Turdidae,96.92835211753845,OTHE,88.76751959323883
76.88,99.98999786376953,Call.Turdidae,99.88582730293274,Passeriformes,99.96742010116577,Turdidae,99.88582730293274,OTHE,68.60268115997314
81.27,66.85234069824219,Call.Turdidae,89.27424550056458,Passeriformes,89.40449953079224,Turdidae,89.27424550056458,OTHE,99.38638806343079
81.66,51.00381851196289,Call.Turdidae,79.65419888496399,Passeriformes,99.90339279174805,Turdidae,79.65419888496399,OTHE,98.68115186691284
86.89,59.644004821777344,Call.Turdidae,93.17115545272827,Passeriformes,99.70558881759644,Turdidae,93.17115545272827,OTHE,73.89903664588928
99.38,99.98999786376953,Call.Turdidae,99.62745904922485,Passeriformes,99.8691976070404,Turdidae,99.62745904922485,OTHE,94.44652795791626
101.89,61.948211669921875,Call.SAVS,99.68006014823914,Passeriformes,99.99992251396179,Passerellidae,99.65908527374268,SAVS,99.68006014823914
102.53,59.951133728027344,Call.GCTH,74.95298385620117,Passeriformes,99.77315068244934,Turdidae,99.87685084342957,GCTH,74.95298385620117
104.41,99.98999786376953,Call.Turdidae,80.87215423583984,Passeriformes,99.22683835029602,Turdidae,80.87215423583984,OTHE,99.41429495811462
105.99000000000001,70.11312866210938,Call.Passerellidae,88.17802667617798,Passeriformes,99.98725652694702,Passerellidae,88.17802667617798,OTHE,87.33271956443787
106.47999999999999,51.66778564453125,Call.Passeriformes,99.93264675140381,Passeriformes,99.93264675140381,other,54.84979748725891,OTHE,54.84979748725891
110.38,65.61817932128906,Call.SWTH,78.20932865142822,Passeriformes,99.99946355819702,Turdidae,99.43479299545288,SWTH,78.20932865142822
111.37,53.969268798828125,Call.Turdidae,86.78545355796814,Passeriformes,99.97667670249939,Turdidae,86.78545355796814,OTHE,94.32437419891357
117.78,99.98999786376953,Call.Passeriformes,99.76749420166016,Passeriformes,99.76749420166016,other,50.479769706726074,OTHE,50.479769706726074
118.27000000000001,63.77931213378906,Call.Turdidae,99.9608039855957,Passeriformes,95.27865648269653,Turdidae,99.9608039855957,OTHE,90.38320481777191
128.54,58.22488021850586,Call.Turdidae,83.41368436813354,Passeriformes,91.36009812355042,Turdidae,83.41368436813354,OTHE,92.43946671485901
130.51,99.98999786376953,Call.Turdidae,91.26389622688293,Passeriformes,99.99287724494934,Turdidae,91.26389622688293,OTHE,95.6486701965332
133.22,53.947784423828125,Call.Turdidae,98.86324405670166,Passeriformes,99.98648166656494,Turdidae,98.86324405670166,OTHE,74.54220652580261
133.67,63.57707214355469,Call.SWTH,64.78062272071838,Passeriformes,99.99659061431885,Turdidae,99.99077320098877,SWTH,64.78062272071838
144.43,51.562164306640625,Call.Turdidae,99.67081546783447,Passeriformes,99.97641444206238,Turdidae,99.67081546783447,OTHE,79.2185515165329
145.41,78.66572570800781,Call.Passerellidae,63.5175347328186,Passeriformes,99.66505765914917,Passerellidae,63.5175347328186,OTHE,79.21534180641174
145.56,71.02583312988281,Call.Turdidae,90.05537033081055,Passeriformes,97.83449172973633,Turdidae,90.05537033081055,OTHE,96.96160554885864
148.57,55.28077697753906,Call.Turdidae,98.81702661514282,Passeriformes,99.47446584701538,Turdidae,98.81702661514282,OTHE,98.84430766105652
149.85,99.98999786376953,Call.SWTH,71.24589085578918,Passeriformes,97.94462323188782,Turdidae,99.76130723953247,SWTH,71.24589085578918
150.69,99.98999786376953,Call.Turdidae,97.12133407592773,Passeriformes,99.8259425163269,Turdidae,97.12133407592773,OTHE,96.70147597789764
151.09,71.50508117675781,Call.SWTH,84.78827476501465,Passeriformes,99.99547004699707,Turdidae,99.92974996566772,SWTH,84.78827476501465
153.85,53.331459045410156,Call.Turdidae,74.24966096878052,Passeriformes,98.92503023147583,Turdidae,74.24966096878052,OTHE,99.73191320896149
154.34,99.98999786376953,Call.Turdidae,99.75873231887817,Passeriformes,99.99990463256836,Turdidae,99.75873231887817,OTHE,86.95520162582397
154.69,61.6756591796875,Call.Turdidae,99.66402053833008,Passeriformes,99.99056458473206,Turdidae,99.66402053833008,OTHE,91.67150557041168
157.01,63.449851989746094,Call.Turdidae,98.75743389129639,Passeriformes,99.98766779899597,Turdidae,98.75743389129639,OTHE,52.420398592948914
160.56,57.62711715698242,Call.SWTH,79.86418604850769,Passeriformes,99.93231892585754,Turdidae,99.91228580474854,SWTH,79.86418604850769
161.1,70.79843139648438,Call.Turdidae,86.26452684402466,Passeriformes,99.58604574203491,Turdidae,86.26452684402466,OTHE,96.88827693462372
161.84,99.98999786376953,,,other,72.39631712436676,other,72.39631712436676,OTHE,72.39631712436676
165.84,99.98999786376953,Call.Turdidae,99.80126023292542,Passeriformes,99.89410638809204,Turdidae,99.80126023292542,OTHE,98.22953641414642
166.97,99.98999786376953,Call.Turdidae,93.26344728469849,Passeriformes,99.92339015007019,Turdidae,93.26344728469849,OTHE,99.10695552825928
168.36,68.36221313476562,Call.Turdidae,94.36684846878052,Passeriformes,99.97560977935791,Turdidae,94.36684846878052,OTHE,99.70460534095764
169.24,61.882232666015625,Call.Parulidae,53.89874577522278,Passeriformes,98.7894058227539,Parulidae,53.89874577522278,OTHE,99.30295050144196
169.74,63.932586669921875,Call.Passerellidae,80.53102493286133,Passeriformes,99.46349263191223,Passerellidae,80.53102493286133,OTHE,93.8293308019638
170.38,59.838890075683594,Call.Turdidae,94.83500719070435,Passeriformes,99.92525577545166,Turdidae,94.83500719070435,OTHE,99.01353418827057
171.71,63.84910583496094,Call.Passeriformes,99.92433786392212,Passeriformes,99.92433786392212,other,73.27635288238525,OTHE,73.27635288238525
172.85,51.7841682434082,Call.GCTH,56.67718052864075,Passeriformes,93.0904746055603,Turdidae,99.78435039520264,GCTH,56.67718052864075
174.92000000000002,57.03846740722656,Call.Passeriformes,98.84920716285706,Passeriformes,98.84920716285706,other,55.31376004219055,OTHE,55.31376004219055
175.76,99.98999786376953,Call.Turdidae,96.91476821899414,Passeriformes,72.78606295585632,Turdidae,96.91476821899414,OTHE,97.45179414749146
176.6,99.98999786376953,Call.Turdidae,78.68033647537231,Passeriformes,97.06289768218994,Turdidae,78.68033647537231,OTHE,55.38422465324402
181.93,99.98999786376953,Call.Turdidae,98.50900173187256,Passeriformes,99.93593096733093,Turdidae,98.50900173187256,OTHE,68.75324845314026
185.92,64.06732177734375,Call.Turdidae,99.88189935684204,Passeriformes,99.6894359588623,Turdidae,99.88189935684204,OTHE,89.44033086299896
