Time (hh:mm:ss),Detection confidence (%),Order,Order confidence (%),Family,Family confidence (%),Species (4-letter code),Species confidence (%)
00:00:04.10,71.13288879394531,Passeriforme,99.97164011001587,Turdidae,98.23925495147705,OTHE,96.0750013589859
00:00:10.02,53.74308395385742,Passeriforme,99.92655515670776,Passerellidae,56.817811727523804,OTHE,92.6369458436966
00:00:19.34,55.65357208251953,Passeriforme,99.98171925544739,Turdidae,83.4731936454773,OTHE,99.2723822593689
00:00:28.37,59.61925506591797,Passeriforme,99.97918009757996,Turdidae,87.23093271255493,OTHE,97.90405631065369
00:00:30.79,64.60102081298828,Passeriforme,97.07775115966797,Turdidae,94.05076503753662,OTHE,98.15201163291931
00:00:33.11,99.98999786376953,Passeriforme,99.99976754188538,Turdidae,95.89106440544128,OTHE,96.06392681598663
00:00:34.93,63.109458923339844,Passeriforme,99.12538528442383,Turdidae,71.44060730934143,OTHE,99.24518465995789
00:00:41.20,62.219635009765625,Passeriforme,99.74579811096191,Turdidae,99.38151240348816,OTHE,52.29875147342682
00:00:50.18,59.287750244140625,Passeriforme,99.84660744667053,other,77.64798402786255,OTHE,77.64798402786255
00:00:50.38,99.98999786376953,Passeriforme,98.69347810745239,Turdidae,87.5406265258789,OTHE,97.91784584522247
00:01:01.63,59.81703186035156,Passeriforme,99.88971948623657,Turdidae,98.10888767242432,OTHE,96.54924869537354
00:01:04.39,66.24612426757812,Passeriforme,99.9458909034729,Turdidae,96.92834615707397,OTHE,88.76751363277435
00:01:16.88,99.98999786376953,Passeriforme,99.96742010116577,Turdidae,99.88582134246826,OTHE,68.60267519950867
00:01:21.27,66.85234069824219,Passeriforme,89.40452337265015,Turdidae,89.27426338195801,OTHE,99.38638806343079
00:01:21.66,51.00382614135742,Passeriforme,99.90338683128357,Turdidae,79.65420484542847,OTHE,98.68115484714508
00:01:26.89,59.644004821777344,Passeriforme,99.70560073852539,Turdidae,93.17114353179932,OTHE,73.89907240867615
00:01:39.38,99.98999786376953,Passeriforme,99.8691976070404,Turdidae,99.62746500968933,OTHE,94.44654285907745
00:01:41.89,61.94822692871094,Passeriforme,99.99991655349731,Passerellidae,99.6590793132782,SAVS,99.68006014823914
00:01:42.53,59.951133728027344,Passeriforme,99.77314472198486,Turdidae,99.87684488296509,GCTH,74.95296001434326
00:01:44.41,99.98999786376953,Passeriforme,99.2268443107605,Turdidae,80.87214827537537,OTHE,99.41429495811462
00:01:45.99,70.11312866210938,Passeriforme,99.98725652694702,Passerellidae,88.17803859710693,OTHE,87.33272552490234
00:01:46.48,51.66779327392578,Passeriforme,99.93263483047485,other,54.84984517097473,OTHE,54.84984517097473
00:01:50.38,65.61817932128906,Passeriforme,99.99946355819702,Turdidae,99.43478107452393,SWTH,78.20934057235718
00:01:51.37,53.969268798828125,Passeriforme,99.97667670249939,Turdidae,86.78544163703918,OTHE,94.32438313961029
00:01:57.78,99.98999786376953,Passeriforme,99.76749420166016,other,50.47975182533264,OTHE,50.47975182533264
00:01:58.27,63.77931213378906,Passeriforme,95.27868032455444,Turdidae,99.9608039855957,OTHE,90.38322567939758
00:02:08.54,58.22488021850586,Passeriforme,91.36010408401489,Turdidae,83.41367244720459,OTHE,92.43946671485901
00:02:10.51,99.98999786376953,Passeriforme,99.99288320541382,Turdidae,91.26389026641846,OTHE,95.64866721630096
00:02:13.22,53.947784423828125,Passeriforme,99.98648166656494,Turdidae,98.86323809623718,OTHE,74.54226016998291
00:02:13.67,63.57707214355469,Passeriforme,99.99659657478333,Turdidae,99.99076724052429,SWTH,64.78071212768555
00:02:24.43,51.56214141845703,Passeriforme,99.97641444206238,Turdidae,99.67080950737,OTHE,79.21856939792633
00:02:25.41,78.66572570800781,Passeriforme,99.66505765914917,Passerellidae,63.51757049560547,OTHE,79.21533286571503
00:02:25.56,71.02583312988281,Passeriforme,97.83449172973633,Turdidae,90.0553822517395,OTHE,96.9616025686264
00:02:28.57,55.280784606933594,Passeriforme,99.47447776794434,Turdidae,98.81702661514282,OTHE,98.84430766105652
00:02:29.85,99.98999786376953,Passeriforme,97.94462323188782,Turdidae,99.76131916046143,SWTH,71.2458610534668
00:02:30.69,99.98999786376953,Passeriforme,99.8259425163269,Turdidae,97.12133407592773,OTHE,96.70147597789764
00:02:31.09,71.50508117675781,Passeriforme,99.99547004699707,Turdidae,99.92974996566772,SWTH,84.7882866859436
00:02:33.85,53.33144760131836,Passeriforme,98.92503023147583,Turdidae,74.24963712692261,OTHE,99.73191618919373
00:02:34.34,99.98999786376953,Passeriforme,99.99989867210388,Turdidae,99.75873231887817,OTHE,86.95516884326935
00:02:34.69,61.6756591796875,Passeriforme,99.99056458473206,Turdidae,99.66402053833008,OTHE,91.67151153087616
00:02:37.01,63.449851989746094,Passeriforme,99.98766779899597,Turdidae,98.75743389129639,OTHE,52.42037773132324
00:02:40.56,57.627105712890625,Passeriforme,99.93231892585754,Turdidae,99.91228580474854,SWTH,79.86425757408142
00:02:41.10,70.79843139648438,Passeriforme,99.58604574203491,Turdidae,86.26455664634705,OTHE,96.88827991485596
00:02:41.84,99.98999786376953,other,72.39636778831482,other,72.39636778831482,OTHE,72.39636778831482
00:02:45.84,99.98999786376953,Passeriforme,99.89411234855652,Turdidae,99.80125427246094,OTHE,98.22953641414642
00:02:46.97,99.98999786376953,Passeriforme,99.92339611053467,Turdidae,93.26342344284058,OTHE,99.10695552825928
00:02:48.36,68.36221313476562,Passeriforme,99.97560381889343,Turdidae,94.36683654785156,OTHE,99.70461428165436
