Time (hh:mm:ss),Detection confidence (%),Order,Order confidence (%),Family,Family confidence (%),Species (4-letter code),Species confidence (%)
00:00:04.10,71.13288879394531,Passeriforme,99.97164011001587,Turdidae,98.23924899101257,OTHE,96.07501327991486
00:00:10.02,53.74308395385742,Passeriforme,99.92655515670776,Passerellidae,56.81781768798828,OTHE,92.63693988323212
00:00:19.34,55.65357208251953,Passeriforme,99.98171925544739,Turdidae,83.47317576408386,OTHE,99.27238523960114
00:00:28.37,59.61925506591797,Passeriforme,99.97918009757996,Turdidae,87.23094463348389,OTHE,97.90405035018921
00:00:30.79,64.60104370117188,Passeriforme,97.07776308059692,Turdidae,94.0507709980011,OTHE,98.15201461315155
00:00:33.11,99.98999786376953,Passeriforme,99.99977350234985,Turdidae,95.8910584449768,OTHE,96.06394469738007
00:00:34.93,63.109458923339844,Passeriforme,99.12538528442383,Turdidae,71.44058346748352,OTHE,99.24518764019012
00:00:35.53,49.932769775390625,Passeriforme,98.8739013671875,other,70.42033076286316,OTHE,70.42033076286316
00:00:41.20,62.219635009765625,Passeriforme,99.74581003189087,Turdidae,99.38150644302368,OTHE,52.29877829551697
00:00:50.18,59.287750244140625,Passeriforme,99.84661340713501,other,77.6479959487915,OTHE,77.6479959487915
00:00:50.38,99.98999786376953,Passeriforme,98.69348406791687,Turdidae,87.5406265258789,OTHE,97.91785180568695
00:00:54.67,45.177032470703125,Passeriforme,99.97210502624512,Turdidae,99.80311393737793,OTHE,93.29086542129517
00:01:01.63,59.81703186035156,Passeriforme,99.88971948623657,Turdidae,98.10888767242432,OTHE,96.54923677444458
00:01:04.39,66.24612426757812,Passeriforme,99.94588494300842,Turdidae,96.92835211753845,OTHE,88.76751959323883
00:01:06.17,42.26578903198242,Passeriforme,99.9940037727356,Turdidae,99.71892833709717,OTHE,91.49129092693329
00:01:16.88,99.98999786376953,Passeriforme,99.96742010116577,Turdidae,99.88582730293274,OTHE,68.60268115997314
00:01:21.27,66.85234069824219,Passeriforme,89.40449953079224,Turdidae,89.27424550056458,OTHE,99.38638806343079
00:01:21.66,51.00381851196289,Passeriforme,99.90339279174805,Turdidae,79.65419888496399,OTHE,98.68115186691284
00:01:26.89,59.644004821777344,Passeriforme,99.70558881759644,Turdidae,93.17115545272827,OTHE,73.89903664588928
00:01:39.38,99.98999786376953,Passeriforme,99.8691976070404,Turdidae,99.62745904922485,OTHE,94.44652795791626
00:01:39.77,43.908103942871094,Passeriforme,99.98273253440857,Turdidae,99.43147897720337,GCTH,62.83692121505737
00:01:41.65,40.41338348388672,Passeriforme,99.65766072273254,Turdidae,96.09202146530151,OTHE,96.31317257881165
00:01:41.89,61.948211669921875,Passeriforme,99.99992251396179,Passerellidae,99.65908527374268,SAVS,99.68006014823914
00:01:42.53,59.951133728027344,Passeriforme,99.77315068244934,Turdidae,99.87685084342957,GCTH,74.95298385620117
00:01:44.41,99.98999786376953,Passeriforme,99.22683835029602,Turdidae,80.87215423583984,OTHE,99.41429495811462
00:01:45.99,70.11312866210938,Passeriforme,99.98725652694702,Passerellidae,88.17802667617798,OTHE,87.33271956443787
00:01:46.48,51.66778564453125,Passeriforme,99.93264675140381,other,54.84979748725891,OTHE,54.84979748725891
00:01:50.38,65.61817932128906,Passeriforme,99.99946355819702,Turdidae,99.43479299545288,SWTH,78.20932865142822
00:01:51.22,38.23126220703125,Passeriforme,78.18801999092102,Turdidae,75.97067356109619,OTHE,99.06602501869202
00:01:51.37,53.969268798828125,Passeriforme,99.97667670249939,Turdidae,86.78545355796814,OTHE,94.32437419891357
00:01:51.96,30.108394622802734,Passeriforme,99.9929666519165,other,52.860236167907715,OTHE,52.860236167907715
00:01:54.57,41.307273864746094,Passeriforme,99.7859239578247,Passerellidae,53.564196825027466,OTHE,92.79341101646423
00:01:56.10,30.26422119140625,Passeriforme,98.48524332046509,Turdidae,78.520667552948,OTHE,99.61943030357361
00:01:57.78,99.98999786376953,Passeriforme,99.76749420166016,other,50.479769706726074,OTHE,50.479769706726074
00:01:58.27,63.77931213378906,Passeriforme,95.27865648269653,Turdidae,99.9608039855957,OTHE,90.38320481777191
00:02:01.48,31.58650016784668,Passeriforme,99.7647762298584,Turdidae,97.6252794265747,GCTH,88.80118131637573
00:02:08.54,58.22488021850586,Passeriforme,91.36009812355042,Turdidae,83.41368436813354,OTHE,92.43946671485901
00:02:10.51,99.98999786376953,Passeriforme,99.99287724494934,Turdidae,91.26389622688293,OTHE,95.6486701965332
00:02:13.22,53.947784423828125,Passeriforme,99.98648166656494,Turdidae,98.86324405670166,OTHE,74.54220652580261
00:02:13.67,63.57707214355469,Passeriforme,99.99659061431885,Turdidae,99.99077320098877,SWTH,64.78062272071838
00:02:14.61,44.65506362915039,Passeriforme,99.97177124023438,Turdidae,97.98216819763184,OTHE,61.65030002593994
00:02:16.43,34.13111877441406,Passeriforme,99.75968599319458,Turdidae,98.12122583389282,GCTH,54.17848229408264
00:02:24.43,51.562164306640625,Passeriforme,99.97641444206238,Turdidae,99.67081546783447,OTHE,79.2185515165329
00:02:25.41,78.66572570800781,Passeriforme,99.66505765914917,Passerellidae,63.5175347328186,OTHE,79.21534180641174
00:02:25.56,71.02583312988281,Passeriforme,97.83449172973633,Turdidae,90.05537033081055,OTHE,96.96160554885864
00:02:26.10,48.76982116699219,Passeriforme,99.42060708999634,Parulidae,50.88464617729187,OTHE,94.67775225639343
00:02:28.57,55.28077697753906,Passeriforme,99.47446584701538,Turdidae,98.81702661514282,OTHE,98.84430766105652
